Data,Raste_te_reja_ne_24_ore,Te_sheruar_ne_24_ore,Te_shtruar_ne_spitale,Humbje_jete_ne_24_ore
10/10/2019,268,415,286,4
11/10/2019,447,295,295,3
12/10/2019,185,348,274,6
13/10/2019,660,555,287,11
14/10/2019,725,551,273,7
15/10/2019,697,433,260,6
16/10/2019,673,436,260,7
17/10/2019,655,356,273,3
18/10/2019,562,321,274,8
19/10/2019,376,333,263,6
20/10/2019,656,440,258,5
21/10/2019,707,439,268,4
22/10/2019,660,386,271,5
23/10/2019,641,379,280,4
24/10/2019,581,465,276,5
25/10/2019,474,363,282,7
26/10/2019,292,417,282,4
27/10/2019,586,594,277,6
28/10/2019,670,505,279,4
29/10/2019,678,457,285,5
30/10/2019,739,469,274,7
31/10/2019,786,489,271,7
01/11/2019,833,506,286,5
02/11/2019,538,401,282,9
03/11/2019,879,589,284,8
04/11/2019,876,503,280,7
05/11/2019,887,523,292,11
06/11/2019,896,514,309,8
07/11/2019,901,507,287,11
08/11/2019,876,497,343,11
09/11/2019,865,498,365,13
10/11/2019,942,455,405,5
11/11/2019,1007,581,404,6
12/11/2019,1052,585,408,14
13/11/2019,1089,676,423,15
14/11/2019,1130,656,431,13
15/11/2019,1124,569,437,14
16/11/2019,953,684,449,12
17/11/2019,1239,805,471,16
18/11/2019,1143,683,483,15
19/11/2019,1105,746,492,14
20/11/2019,1059,881,502,14
21/11/2019,1152,740,512,12
22/11/2019,1088,781,531,12
23/11/2019,775,972,547,12
24/11/2019,801,1058,558,15
25/11/2019,1075,890,585,18
26/11/2019,1112,991,594,17
27/11/2019,1071,930,618,19
28/11/2019,1153,928,606,17
29/11/2019,1184,796,632,13
30/11/2019,1153,928,606,17
01/12/2019,1021,1085,648,15
02/12/2019,1021,906,647,19
03/12/2019,986,849,628,21
04/12/2019,916,849,625,20
05/12/2019,986,962,642,19
06/12/2019,952,804,662,21
07/12/2019,764,640,659,20
08/12/2019,892,760,650,19
09/12/2019,851,903,606,21
10/12/2019,847,777,609,20
11/12/2019,780,757,638,21
12/12/2019,777,742,639,21
13/12/2019,819,838,647,21
14/12/2019,683,697,646,17
15/12/2019,629,897,661,13
16/12/2019,631,714,649,17
17/12/2019,602,761,620,16
18/12/2019,681,872,506,16
19/12/2019,698,690,492,12
20/12/2019,653,662,501,15
21/12/2019,543,578,485,15
22/12/2019,475,749,445,17
23/12/2019,446,744,440,15
24/12/2019,590,710,406,14
25/12/2019,494,690,390,16
26/12/2019,519,671,399,11
27/12/2019,659,522,392,4
28/12/2019,344,699,399,8
29/12/2019,303,651,94,11
30/12/2019,448,696,357,15
31/12/2019,472,567,340,13
01/01/2020,449,589,343,8
02/01/2020,425,550,320,12
03/01/2020,493,557,327,6
04/01/2020,285,568,311,6
05/01/2020,304,593,293,11
06/01/2020,434,654,271,8
07/01/2020,349,604,279,6
08/01/2020,336,625,276,6
09/01/2020,341,673,263,9
10/01/2020,348,669,262,9
11/01/2020,264,589,255,9
12/01/2020,141,604,256,9
13/01/2020,256,565,256,8
14/01/2020,317,529,247,6
15/01/2020,286,543,237,7
16/01/2020,360,534,227,6
17/01/2020,238,517,221,7
18/01/2020,125,546,204,4
19/01/2020,234,634,192,5
20/01/2020,207,538,194,5
21/01/2020,169,572,182,4
22/01/2020,179,587,182,2
23/01/2020,149,542,174,3
24/01/2020,138,442,175,2
25/01/2020,100,587,173,5
26/01/2020,148,430,165,6
27/01/2020,138,465,160,5
28/01/2020,134,516,155,6
29/01/2020,156,696,155,3
30/01/2020,139,738,154,5
31/01/2020,128,712,149,6
01/02/2020,69,737,147,1
02/02/2020,130,698,142,4
03/02/2020,123,724,122,3
04/02/2020,118,719,129,3
05/02/2020,108,732,116,5
06/02/2020,100,834,116,2
07/02/2020,53,748,124,1
08/02/2020,38,872,123,2
09/02/2020,51,834,116,3
10/02/2020,92,842,112,1
11/02/2020,91,894,111,3
12/02/2020,67,891,104,2
13/02/2020,89,873,99,3
14/02/2020,57,963,107,1
15/02/2020,30,952,99,4
16/02/2020,50,1020,96,4
17/02/2020,42,1011,88,3
18/02/2020,45,1050,86,3
19/02/2020,49,983,84,1
20/02/2020,39,976,83,2
21/02/2020,37,1231,85,3
22/02/2020,17,1107,80,3
23/02/2020,39,986,71,1
24/02/2020,24,835,73,2
25/02/2020,23,629,68,2
26/02/2020,35,556,61,1
27/02/2020,23,176,60,1
28/02/2020,33,131,57,2
29/02/2020,6,94,57,1
01/03/2020,14,81,43,2
02/03/2020,15,71,43,0
03/03/2020,20,64,43,0
04/03/2020,21,55,41,1
05/03/2020,12,118,41,1
06/03/2020,12,93,42,1
07/03/2020,6,123,39,1
08/03/2020,22,42,37,0
09/03/2020,14,48,35,0
10/03/2020,9,45,31,0
11/03/2020,12,32,30,0
12/03/2020,2,29,28,0
13/03/2020,5,37,28,0
14/03/2020,5,38,24,1
15/03/2020,13,34,23,0
16/03/2020,18,25,20,0
17/03/2020,11,24,20,0
18/03/2020,11,22,22,1
19/03/2020,12,19,21,0
20/03/2020,10,16,20,0
21/03/2020,2,23,20,0
22/03/2020,8,14,19,1
23/03/2020,7,9,18,0
24/03/2020,5,7,9,0
25/03/2020,3,8,7,0
26/03/2020,4,7,7,0
27/03/2020,2,8,5,0
28/03/2020,1,11,3,1
29/03/2020,5,12,2,0
30/03/2020,1,14,2,0
31/03/2020,2,11,3,0
01/04/2020,7,9,2,0
02/04/2020,3,7,1,1
03/04/2020,3,8,1,0
04/04/2020,1,4,1,0
05/04/2020,1,8,1,0
06/04/2020,7,7,1,0
07/04/2020,2,5,2,0
08/04/2020,3,4,3,0
09/04/2020,8,5,3,0
10/04/2020,1,4,4,0
11/04/2020,2,2,3,0
12/04/2020,7,4,3,0
13/04/2020,13,2,3,0
14/04/2020,8,2,5,0
15/04/2020,15,6,6,0
16/04/2020,7,4,7,0
17/04/2020,5,3,7,0
18/04/2020,5,2,7,0
19/04/2020,11,1,8,0
20/04/2020,8,6,8,0
21/04/2020,13,2,6,0
22/04/2020,18,6,5,0
23/04/2020,18,5,5,0
24/04/2020,21,2,5,0
25/04/2020,11,7,6,0
